,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,Precio Bolsa Nacional ($/kWh) 1996,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fecha,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
3,1996-01-01,25.0,18.0,18.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1.074,1.073,6.0,28.0,28.0,12.0,9.0,12.0,12.0
4,1996-01-02,10.0,10.0,10.0,10.0,10.0,13.0,10.0,13.7,20.0,29.728,29.728,30.0,13.44,13.44,12.0,12.0,12.0,12.0,15.0,20.0,14.3,12.0,25.0,12.0
5,1996-01-03,12.0,10.0,10.0,10.0,12.0,13.0,21.2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,10.0,10.0,10.0,15.0,15.0,30.92,12.0,30.0,10.999
6,1996-01-04,12.8,13.0,12.0,12.0,13.0,13.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,20.0,20.0,20.0,40.0,40.0,32.0,15.0,20.0,13.0
7,1996-01-05,18.0,17.0,17.0,17.0,18.0,18.0,20.0,35.0,40.0,40.0,40.0,40.0,40.0,40.0,35.0,15.0,15.0,15.0,40.0,40.0,30.0,18.0,20.0,18.0
8,1996-01-06,14.0,12.0,12.0,12.0,14.0,14.3,20.0,30.0,40.0,40.0,40.0,40.0,40.0,40.0,30.0,14.0,14.0,14.0,28.0,40.0,28.0,21.0,20.0,14.0
9,1996-01-07,20.0,20.0,20.0,20.0,20.0,20.0,23.0,23.0,30.0,23.0,23.0,23.0,23.0,20.0,20.0,20.0,20.0,23.0,40.0,40.0,40.0,40.0,30.0,20.0
10,1996-01-08,14.9,14.0,14.0,14.0,14.0,14.0,20.0,20.0,30.0,35.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,18.0,20.0,18.0
11,1996-01-09,20.0,20.0,20.0,20.0,20.0,20.0,30.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,30.0,35.0,20.0,41.0,41.0,30.0,20.0,30.0,20.0
12,1996-01-10,25.0,25.0,25.0,25.0,25.0,25.0,33.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,47.964,48.0,32.0,30.0,30.0,25.0
13,1996-01-11,26.0,26.0,26.0,26.0,30.0,35.0,37.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.0,40.0,40.0,38.0,48.0,49.876,48.0,40.0,40.0,30.0
14,1996-01-12,35.0,30.0,28.0,30.0,35.0,40.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.0,40.0,30.0,45.0,50.0,45.0,40.0,40.0,38.0
15,1996-01-13,35.0,35.0,28.0,30.0,35.0,35.0,40.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,25.0,25.0,25.0,45.0,45.0,40.0,40.0,48.0,40.0
16,1996-01-14,18.0,15.0,15.0,15.0,15.0,16.0,35.0,35.0,45.0,35.0,35.0,35.0,40.0,40.0,17.8,16.0,17.8,18.0,35.0,35.0,35.0,35.0,16.0,16.0
17,1996-01-15,25.0,20.0,19.9,19.9,25.0,25.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,25.0,25.0,25.0,35.0,35.0,35.0,25.0,30.0,25.0
18,1996-01-16,25.0,25.0,25.0,25.0,25.0,26.0,40.0,40.0,45.0,45.0,25.0,25.0,50.0,28.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0
19,1996-01-17,25.0,25.0,25.0,25.0,25.0,25.0,38.0,45.0,45.0,45.0,25.0,25.0,29.728,22.0,22.0,22.0,22.0,22.0,25.0,25.0,27.0,22.0,30.0,22.0
20,1996-01-18,20.0,20.0,20.0,20.0,20.0,20.0,38.0,42.0,45.0,45.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.2,46.777,18.0,22.0,15.0,15.0
21,1996-01-19,20.0,20.0,20.0,20.0,20.0,20.0,18.0,20.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,25.5,29.728,30.0,30.0,35.0,30.0,30.0,20.0,20.0
22,1996-01-20,14.0,10.999,10.94,10.94,12.87,15.0,18.0,18.0,23.1,30.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,30.0,45.0,30.0,30.0,23.2,18.0
23,1996-01-21,14.5,14.5,14.5,14.5,14.5,14.5,18.0,18.0,18.0,18.0,15.001,18.0,30.0,23.1,18.0,18.0,18.0,18.0,30.0,30.0,30.0,30.0,15.001,12.0
24,1996-01-22,10.0,10.0,10.0,10.0,10.0,15.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,26.0,45.336,18.0,18.0,18.0,16.0
25,1996-01-23,5.001,5.001,5.001,5.001,6.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,25.0,25.0,23.1,18.0,18.0,16.0
26,1996-01-24,8.0,8.0,8.0,8.0,8.0,10.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,32.0,40.0,22.0,18.0,15.0,15.0
27,1996-01-25,9.89,8.0,8.0,8.0,9.9,14.01,16.0,16.0,18.0,16.0,16.0,16.0,16.0,15.0,15.0,16.0,16.0,16.0,30.275,32.0,18.0,18.0,18.0,16.0
28,1996-01-26,8.0,8.0,8.0,8.0,8.0,14.4,14.4,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,19.0,27.217,18.0,16.0,15.0,15.0
29,1996-01-27,11.6,9.9,9.9,9.89,11.8,14.99,14.4,14.99,15.0,14.99,15.0,15.0,15.0,15.0,14.99,15.0,15.0,14.0,18.0,18.624,18.0,15.0,15.0,14.2
30,1996-01-28,7.99,5.001,5.001,5.001,5.001,5.001,9.89,12.0,14.99,12.0,14.99,14.99,14.99,14.4,12.0,14.99,12.0,14.99,12.0,18.0,16.382,11.0,12.0,11.0
31,1996-01-29,7.99,7.99,7.99,7.99,7.99,9.8,12.0,12.0,13.0,14.4,13.0,13.0,13.0,13.0,13.0,23.0,23.0,23.0,30.0,30.0,30.0,26.5,12.768,11.6
32,1996-01-30,9.89,8.0,8.0,8.0,10.0,12.284,12.0,12.0,12.0,12.0,12.0,12.63,12.284,12.284,12.0,13.0,13.0,13.0,32.0,32.0,31.0,28.0,14.2,12.0
33,1996-01-31,8.0,8.0,8.0,8.0,8.0,9.9,24.0,30.576,32.0,31.0,10.0,10.0,10.0,10.0,10.0,12.0,12.7,26.0,32.0,35.0,32.0,30.0,12.0,9.9
34,1996-02-01 00:00:00,9.9,8.0,12.0,12.0,12.0,12.5,15.0,15.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,13.038,13.038,15.0,25.0,26.5,25.0,15.0,12.7,12.0
35,1996-02-02 00:00:00,11.99,11.99,11.99,11.778,11.99,11.99,11.99,11.99,12.0,11.99,11.99,11.778,11.99,11.99,11.0,12.0,12.0,12.0,28.0,28.0,19.0,11.99,11.99,11.99
36,1996-02-03 00:00:00,9.0,9.75,9.75,7.98,9.75,7.95,7.217,9.0,9.76,11.0,12.595,15.9,24.67,12.595,12.595,24.67,24.67,22.0,18.0,25.0,15.9,11.582,24.67,12.595
37,1996-02-04 00:00:00,9.76,7.98,7.95,7.5,7.5,7.95,4.5,6.99,6.99,6.99,7.0,7.0,7.95,7.95,7.0,7.0,7.0,7.0,6.99,10.0,7.95,6.99,6.99,1.076
38,1996-02-05 00:00:00,7.9,7.9,7.9,7.9,7.5,1.257,4.5,7.9,7.9,7.9,7.9,7.9,7.9,4.5,4.5,7.9,9.234,9.234,14.99,14.99,14.0,4.5,16.0,7.9
39,1996-02-06 00:00:00,3.5,1.258,1.257,1.257,1.258,4.0,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,13.55,6.318,4.0,4.0,4.0,4.0
40,1996-02-07 00:00:00,1.26,1.26,1.26,1.26,10.0,10.0,1.26,2.0,2.0,2.0,10.0,10.0,2.1,2.1,2.1,2.1,10.0,10.0,2.1,11.1,2.1,1.26,10.0,2.1
41,1996-02-08 00:00:00,1.256,1.255,1.255,1.255,1.26,2.0,2.0,2.0,2.0,2.0,10.0,10.0,2.1,2.1,2.1,1.261,1.261,1.261,2.1,2.1,2.1,1.261,10.0,2.1
42,1996-02-09 00:00:00,9.89,1.261,1.261,1.261,1.261,10.0,1.26,1.26,1.26,1.26,9.0,9.89,9.0,1.261,1.261,1.261,1.261,1.261,9.0,9.0,1.261,1.261,9.89,1.261
43,1996-02-10 00:00:00,1.261,1.261,1.26,1.26,1.261,1.261,1.26,1.261,11.0,13.0,1.261,9.89,1.261,1.26,1.26,1.26,1.26,1.26,11.0,14.0,1.261,1.261,1.26,1.255
44,1996-02-11 00:00:00,10.0,10.0,1.3,1.3,1.3,10.0,1.255,1.255,1.255,1.26,1.26,1.26,9.89,1.301,1.3,1.26,1.26,1.26,5.0,15.0,15.0,11.6,10.0,10.0
45,1996-02-12 00:00:00,10.0,10.0,10.0,10.0,10.0,10.0,12.8,11.1,12.8,12.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.35,13.0,16.1,10.0,12.8,9.89,1.26
46,1996-02-13 00:00:00,10.0,10.0,10.0,10.0,3.0,10.0,12.8,11.0,1.3,11.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,16.1,19.5,16.1,10.0,10.0,1.3
47,1996-02-14 00:00:00,9.89,3.0,3.0,3.0,10.0,10.0,10.0,10.0,1.3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.5,12.8,11.5,10.0,10.0,1.3
48,1996-02-15 00:00:00,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.3,1.3,7.0,11.5,11.5,11.5,7.0,7.0,1.3
